content,factor_label,score
bank kece parah saya pengguna baru mudah banget buat registrasi enak buat transaksi kemana pun benar tidak ada biaya admin fitur lengkap banget lagi cocok buat saya yang suka belanja pakai otomatis pengajuan deh lengkap banget deh mau apa bisa di bank,EU,5
bank sangat memuaskan bagi saya yng sangat mudah dan simpel untuk di gunakan transaksi kemanapun dan tidak ada biaya adiminya dan bank memiliki fitur yang lengkap jadii cocok buat saya yang biasanya belanja dengan jadi lebih mudah,EU,5
simulasi pinjaman 5 3 dengan tenor 6 bulan 99 bulan kena by layanan 319 mati belanda yang dicairkan menjadi 5 bunga ditambah by layanan menjadi 1 6 1 per bulan too expensive bung rate saya harusnya 75rb 85 ribu untuk bunga dan by layanan di ulasan lagi bungs,CA,1
bank kece parah saya pengguna baru mudah banget bua registrasi enak buat transaksi kemana pun benar tidak ada biaya admin fitur lengkap banget lagi cocok buat saya yang suka belanja pakai otomatis pengajuan deh lengkap banget deh mau apa bisa di bank,EU,5
mau bayar rumit banget pas di klik lunasi bahkan muncul iklan yang tidak hilang alhasil jadi terlambat bayar,AE,1
assalamualaikum bank saya sudah mengaktifkan tapi kenapa tidak ada limit sama sekali mohon bantuannya,AP,4
sering ditelpon pihak bank untuk mengajukan dengan iming sudah dalam tahap persetujuan tapi limitnya tetap tidak muncul sekarang sudah malas ngangkat telpon dari bank yang begitu saja,AA,1
halo bank barusan saya mendaftar tapi kenapa tidak berhasil padahal semua data lengkap saya sudah benar mohon bantuannya,AR,5
keterangan tansaksi berhasil tetapi tidak masuk ke toko merchant dan saldo terpotong tidak balik lagi maaf menurut saya ini adalah penipuan dan saya sudah melaporkan kepolisi tadi semoga anda dapat ganjarannya aamiin,CA,1
secara keseluruhan bagus promo menarik penggunaan mudah cuma telemarketing yang rese sehari bisa 8x nelpon tawarkan paylater,EU,5
sangat mengecewakan di telpon pelayanan pelanggan dari bank kalau mau pengajuan minimal ada transaksi 3x ini saya daftar dan lakukan transaksi eh ujungnya juga tidak dapat mengecewakan membohongi publik,AA,1
aman dan terpercaya fitur nya yang sangat mendukung contoh untuk transfer melalui aplikasi atau bank pun dengan mudah dan sudah dilindungi dan diawasi oleh ojk,UP,5
ini bagus memberikan kemudahan dalam mengelola keuangan bank juga punya yang aman saya merasa puas dengan fitur ini,EU,5
aplikasi nya lengkap mudah di pahami bisa pembayaran juga keren banget aplikasi nya,EU,5
sangat membantu sekali bisa bayar tagihan listrik tanpa biaya admin bisa transfer tanpa biaya admin yang pastinya sangat membantu sekali,UP,5
bank ini adalah yang praktis prosesnya juga cepat fitur fitur nya lengkap dan bebas biaya admin juga pokoknya puas deh pakai ini,UP,5
bintang ja dahulu karena jadi korban pemberi harapan palsu di janjiin kalau sudah sering transaksi pakai biasa 3 bualan transaksi pakai apl ini tapi nyatanya nihil huhuhuhu,CA,2
bank sangat bagus dan tidak dipungut biaya admin saya suka memakainya apalagi proses pengajuan sangat mudah dan cepat prosesnya,UP,5
bank sejauh ini sangat baik transfer ke berbeda bank bebas biaya admin gratis tampilan yang juga keren dan sangat userfriendly untuk pengguna baru sangat membantu juga dengan adanya mantap bank,UP,5
bagus banget sekarang bank sudah bisa pakai dan sudah di awasi ojk lagi jadi makin nyaman dan aman saja nih pakai bank,UP,5
adalah yang sudah terjamin keamanannya dan telah dilindungi ojk pakai bank gampang dan gratis transfer ke manapun,UP,5
wah pakai bank jadi lebih nyaman aman dan mudah karena bebas biaya transfer diawasi ojk dan memiliki yang memudahkan kita,UP,5
dapat rekomendasi dari teman katanya kalau mau pakai yang aman sudah diawasi sama ojk bebas biaya admin tf ke bank yang lain terus gampang lagi fitur fiturnyaa disuruh unduh bank dan benaran loh memang seperti begitu kenyataannya mantap deh,UP,5
pakai bank sudah hampir 1 taun sudah terdaftar di ojk bisa buat bayar juga mudah banget mau buat keperluan rumah tangga juga bisa,UP,5
setiap 1 jam msuk pemberitahuan untuk ambil tapi tidak bisa aneh x bank ini,AR,1
dari bank sangat aman dan terpercaya jadi saya tidak perlu khawatir untuk belanja sekarang dan bayar nanti,CA,5
suka banget sama bank anti rumit semuanya serba mudah apalagi bank ini aman karena dilindungi ojk,UP,5
aplikasi nya smsangat membantu saat dan dilindungi ojk juga sangat cocok untuk apapun itu,UP,5
ini sangat memudahkan kita untuk transfer ke bank lain tanpa biaya admin jika ingin mengajukan sangat aman dan terpercaya,UP,5
saya sudah mau hampir setahun menggunakan bank tapi fitur dan dana instan tidak bisa digunakan padahal menurut saya fitur tersebut sangat membantu jika memerlukan uang darurat tolong respons dong minimal dan aktifkan fitur tersebut di akun saya,EU,2
cuman iming saja melalui sms katanya di acc giliran unduh eng ing eng nihil terima kasih sudah kasih harapan palsu,AA,1
bank aplikasi nya bagus tampilannya juga simpel bank punya yang aman sudah pasti aman diawasi ojk,UP,5
aplikasi nya yang sangat bagus tampilannya juga keren terdaftar di ojk pasti aman fitur nya banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah belanja di transmart dengan bank dapat diskon banyak banget keuntungannya rekomendasi banget untuk pakai bank,UP,5
baru pertama pakai yang aman seperti ini untuk keseluruhan mudah dipakai dan dipahami serta sudah diawasi ojk dan juga bebas biaya admin,UP,5
selalu dapat notifikasi untuk segera aktifkan tapi saat dicoba selalu ditolak padahal saya kol 1 bagaimana ini memberikan harapan saja,AA,2
simpel saat proses pengajuan limit benar berguna disaat lagi butuh pinjaman daring,EU,5
ini sangat membantu jika di aktifkan atau pinjam seperti bank digital yang sudah menerapkan atau dana pinjaman terima kasih,EU,4
saya suka dengan bank selain bebas biaya transfer aplikasi ini juga mempunyai kelebihan lainnya seperti yang di lindungi oleh ojk,UP,5
bank merupakan yang keren terdapat yang aman dan terpercaya,UP,5
penutupan akun berasa di persulit padahal tidak ada tagihan dan saldo sudah kosong,AA,1
ada jadi lebih mudah buat belanja keperluan sehari hari,CA,5
bagus dan berguna bunga juga kecil,CA,5
bank mudah digunakan buat cepat juga di acc mencoba sekarang,EU,5
bank punya yang aman dan bagus mantap deh pokok nya,UP,5
bank ini sangat berguna buat orang yang tidak mau rumit transfer kemanapun tanpa biaya tambahan gratis biaya admin dan lebih bagusnya lagi ada yang aman dilindungi di awasi ojk terus berkembang ya bank,UP,5
saya baru pertama kali menggunakan bank ini sangat bagus dan membantu karena bank ini bebas biaya transfer atau gratis admin untuk seluruh akun paylaternya juga sangat aman juga bukan pinjol tidak jelas amanah banget produk grow punya bunga besar dan fleksible untuk penarikan tunainya sudah pasti aman dan amanah soalnya diawasi ojk gratis biaya admin tanpa adanya potongan kalau beli pulsa paket data biayanya juga gratis mantap betul banget aplikasi nya,UP,5
daftar bank tidak pakai rumit juga aman karena sudah di awasi ojk mau transfer ke bank manapun di jamin tidak ada biaya admin bayar tagihan beli pulsa dan lain lain mudah tanpa tambahan biaya keren sih aplikasi nya sukses terus bank,UP,5
jangan daftar kalau tidak mau di teror telpon berkali kali alasannya ada promo pelunasan awal bulan dan mereka maksa kita buat makek padahal belum makai dan baru daftar saja saja sudah di teror telpon berkali kali kayak punya pinjol nunggak bisa tidak se tidak usah neror lagi tolonglah sudah risih banget kalau mau pakai atau tidak itu akan terserah aku sebagai user tidak usah maksa sampai detik ini aku masih di teror terus,AA,1
bank sangat bagus buat yang suka pakai karena registrasinya gampang dan tidak perlu rumit buat bayar air listrik sama yang lain cukup pakai bank saja sama enaknya juga gratis biaya admin sama biaya transfer,UP,5
sudah sering pakai bank enak di bank gratis biaya admin bayar tagihan pulsa pln sama paket data bank juga punya yang aman pokoknya terpercaya banget sudah pasti aman di awasi ojk,UP,5
selalu menawarkan setelah di gunakan dan di coba beberapa kali daftar di tolak terus aplikasi kurang sehat coba aplikasi lain semua di acc otomatis uninstall aplikasi ini guna tidak menuh memenuhi memory iya,AA,1
bank salah satu yang harus dipunya sih soalnya bebas biaya transfer kemanapun bank juga ada loh juga dijamin aman deh di awasi oleh ojk juga jadi bukan abal yahh pokoknya sangat rekomendasi deh,UP,5
wah bank keren bebas biaya transfer punya yang aman gratis biaya transfer produk grow punya bunga besar lagi dan bisa ditarik kapan pun aku mauu sudah pasti aman lagi karena diawasi ojk jatuh cinta banget deh sama bank sangat rekomendasi buat digunakann,UP,5
ini bagus banget dan juga mudah pengaplikasiannya jangan ragu deh join ke bank transfer antar bank gratis biaya admin dan juga gratis biaya admin bayar tagihan pulsa pln dan paket data loh bank bukan pinjol abal sangat aman dan di awasi dengan ojk dan juga punya beb,UP,5
iseng mengajukan pengen tahu limit berapa eh tahu tidak disetujui padahal nama saya tidak pernah bermasalah dan saya memiliki banyak limit cc bca juta cc mandiri juta bca juta traveloka 75juta 5 juta 8 5 juta lucu saja begitu bisa tidak disetujui,CLA,1
mudah digunakan menyediakan yang sudah diawasi oleh ojk fleksibel dan juga bebas biaya transfer aku pakai ini nyaman banget karena bebas biaya admin juga buat mengisi pulsa atau pln aman biaya admin,UP,5
yang sangat membantu aku transfer kemanapun dan mengisi pulsa paket data dan pln pakai bank selalu gratis biaya admin bank juga punya yang aman karena sudah dilindungi ojk pokoknya mantap deh,UP,5
yang bagus sangat cocok buat sehari transper antar bank gratis jadi lebih praktis cuma sayangnya fitur masih belum dapat diaktivasi,UP,5
tolong di bantu penjelasan kata kalau sudah lakukan transaksi akan dapat limit sampai sekarang kenapa belum dapat tolong dong di konfirmasi keluhan nya,CA,5
baru tahu ternyata punya aman dan juga aplikasi nya tuh aman karena sudah diawasi ojk selain itu juga gratis tanpa biaya admin kalau mau transfer mantap deh pokoknya allobank,UP,5
saya sangat membantu sekali dengan menggunakan bank ini bank merupakan yang aman gratis transfer kemanapun dan kapanpun nomor bunga besar dan terjamin memuaskan,CA,5
bank terbaik gratis biaya transfer ke bank lain dan juga ada limit saya sudah setahun pakai bank dan memang aplikasi nya bagus sukses terus bank,UP,5
aku sudah pakai bank ini dan ini bebas biaya tranfer dan juga memiliki yang aman kalian harus coba ini ini sangat aman buat yang ingin coba paylater,UP,5
bayar tagihan allopaylater lebih cepat sebelum tanggal jatuh tempo kena biaya 1 dari total tagihan tidak tertuang di pusat bantuan paling aneh di lunasin kena denda,AC,1
bank yang aman terpercaya dan terlindungi dan mempunyai yang aman,UP,5
tidak sesuai iklan limit bisa gde tahu cuma 5 rbu itu pun dari poin yang kita dapat buat di jadikan aneh,AE,3
sementara saya kasih bintang 1 dahulu karena saya sudah pernah dapat telpon dari pihak bank katanya saya sebagai nasabah terpilih mendapatkan fasilitas dan disuruh memasang dan alhasil setelah saya coba akivasi ujungnya ditolak sangat mengecewakan tidak sesuai sama realitanya selama saya belum diacc saya tidak bakal kasih bintang full mohon diperhatikan ini terima kasih mohon dibantu keluhan saya ini,AA,1
sebaiknya hilangkan saja fitur nya di beranda susah juga mau aktif dapat iklan untuk aktifkan pun tetap jawaban sama belum di setujui,AE,1
puas banget pakai bank sudah gratis tranfer punya yang mantap dan tentunya di awasi ojk dong memang deh bank lengkap dan mantap banget,UP,5
saya sudah bertransaksi kenapa masihh belum bisa digunakan saya sudah berapa kali melapor tidak adarespon,CA,1
tidak jelas sudah diperbarui juga sama saja tidak keluar notice parah pelayanan pelanggan juga tidak ada solusi hanya suruh unistal terus memasang lagi tapi hasilnya sama hapus semua data saya,AR,1
bebas biaya transfer atau gratis admin bank punya yang aman bukan pinjol tidak jelas dan dilindungi ojk produk grow punya bunga besar dan bisa ditarik kapanpun fleksible sudah pasti aman diawasi ojk,UP,5
bank ini memang recomen banget buat kirim uang karena bebas biaya transfer ke mana saja dan bank ini punya yang aman,UP,5
yang aman dan bebas biaya transfer atau gratis admin suka banget sama bank terus aman juga karena diawasi oleh ojk rekomendasi banget nih aplikasi,UP,5
bank sudah pasti aman karena di lindungi sama ojk mana gratis admin kalau tf lagi mantap banget,UP,5
aplikasi nya bagus disetujui tapi tidak dikasih limit,CLA,5
ini punya ya ternyata aman sudah di lindungi ojk jadi bukan pinjol yang tidak jelas begitu yang aku suka dari ini transfer ke lain bank itu gratiiss suka,UP,5
harus di perbaikan mau bayar tagihan mau di klik lunasi iklan yang muncul di tunggu tidak hilang iklannya mau sampai kapan iklannya hilang ini tagihan mau dibayar tidak sih,AE,2
cuma banyak spam sms nawarin sudah daftar tidak di acc kecewa banget,AA,1
bank pilihan tepat untuk keuangan digital transfer gratis aman dan bunga menguntungkan bank benar memudahkan kehidupan finansial saya transfer tanpa biaya nyaman dan grow sangat menguntungkan,EU,5
suka banget sama bank simpel mudah digunakan gratis biaya admin pula bank juga punya yang aman termakasih bank,UP,5
bank sangat membantu dan mempermudah kebutuhan tidak ada biaya admin dan tersedia yang sudah di awasi oleh ojk mantap pokoknya,UP,5
keren dan juga sudah pasti aman bank satu yang mudah di mengerti dan juga terlindungi,UP,1
mohon semua data saya dihapus dikarenakan pengajuan saya tidak berhasil jangan sampai ada timbul tagihan jangan sampai terjadi hal tidak di inginkan saya akan melaporkan ke pihak berwajib terima kasih,AR,1
bank memiliki yang aman dan juga memiliki produk grow punya bunga besar yang bisa di tarik kapan saja dan juga sudah pasti aman karena sudah di awasi ojk,UP,5
aplikasi sangat bermanfaat tampilannya juga simpel menyediakan juga dan tentu sudah diawasi ojk sangat bagus aplikasi nya,UP,5
aman dan terpercaya dapat memudahkan transfer tanpa biaya admin dan memiliki yang dapat membantu semua orang yang sedang berasa difase butuh tetapi belum ada dana,UP,5
sempat bingung mau cari pinjaman kemana untung bank sudah ada fitur dan yang pasti sudah diawasi oleh ojk mantap,UP,5
bank bagus banget nyaman bertransaksi transfer kemana saja tidak pakai admin juga sangat bagus banget memudahkan akan transaksi harian aku dan keluarga,EU,5
dengan menggunakan bank saya dengan mudah bisa mengisi paket data dan bisa menggunakan dengan limit yang besar dan amann,UP,5
lumayan buat transfer sana sini tanpa admin sayang saya belum dapat limit paylater,CLA,5
terbaik sepanjang masa hanya bank paling terbaik,AP,5
bisa digunakan dengan qris dan proses pendaftarannya cepat dan juga diawasi oleh ojk,UP,5
maaf untuk fihak bank saya tidak jadi ngajuain tolong data saya di hapus dan jangan di salah gunakan,AR,4
aplikasi nya mantap sesuai dengan kebutuhan saya bukan pinjol yang tidak jelas yang pasti di awasi ojk mantap sangat memuaskan,UP,5
wow bank memang tidak perlu diragukan lagi sih karena bukan pinjol tidak jelas dan dilindungi ojk mana di ini bebas biaya transfer atau gratis admin loh rekomendasi banget buat kalian,UP,5
bank adalah yang aman dan bagus,UP,5
bank aplikasi yang bagus punya yang aman sudah di awasi ojk sangat senang sekali,UP,5
bank sangat membantu dalam penggunaan dan aman,UP,5
berkat adanya bank jika mau belanja semakin mudah dan cepat tentunya dilindungi oleh ojk,UP,5
ini keren banget punya yang aman dan bebas biaya admin jadi tidak khawatir kalau mau transfer uang kmnapun,UP,5
kalau memang tidak mau memberikan jangan nawarin terus kalau ujung di tolak jelek tidak guna banyak iklan lambat,AE,1
buat apa memasang dan kasih penawaran tapi pas mau daftar tidak bisa daftar on the way hapus instalan aplikasi ini,AA,1
