content,score,at,platform_type,token,lemmatized,clean,period,topic_no,cluster
dapat informasi dari teman kalau ada yang memudahkan untuk transaksi dan nemuin ini bagus banget registrasi tidak rumit dan cepat juga tersedia nya,5,2024-07-28 6:00:37,banking,"['informasi', 'teman', 'memudahkan', 'transaksi', 'nemuin', 'bagus', 'banget', 'registrasi', 'rumit', 'cepat', 'tersedia', 'nya']",informasi teman mudah transaksi nemuin bagus  registrasi rumit cepat sedia,informasi teman memudahkan transaksi nemuin bagus banget registrasi rumit cepat tersedia nya,2024-07-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
sangat membantu dalam transaksi digital gratis biaya admin untuk transfer banyak promo nya banyak rewards juga bank juga punya yang aman mempunyai produk grow yang bisa ditarik kapanpun,5,2024-07-26 0:22:28,banking,"['membantu', 'transaksi', 'digital', 'gratis', 'biaya', 'admin', 'transfer', 'promo', 'nya', 'rewards', 'bank', 'aman', 'produk', 'grow', 'ditarik']",bantu transaksi digital gratis biaya admin transfer promo  rewards  aman produk grow tarik,membantu transaksi digital gratis biaya admin transfer promo nya rewards bank aman produk grow ditarik,2024-07-01,-1,Outlier
secara keseluruhan suka banget sih nyimpen uang di soalnya bisa bebas admin ke mana saja terus kalau pakai grow juga mayan cuan soalnya bunganya gedee saya juga pakai paylaternyaa dahulu pas awal ragu tapi ternyata amann bukan pinjol tidak jelas soalnya diawasin langsung sama ojk gess,5,2024-07-21 7:03:53,banking,"['suka', 'banget', 'sih', 'nyimpen', 'uang', 'bebas', 'admin', 'pakai', 'grow', 'mayan', 'cuan', 'bunganya', 'gedee', 'pakai', 'paylaternyaa', 'pas', 'ragu', 'amann', 'pinjol', 'diawasin', 'langsung', 'ojk', 'gess']",suka   nyimpen uang bebas admin pakai grow mayan cuan bunga gedee pakai paylaternyaa pas ragu amann pinjol diawasin langsung ojk gess,suka banget sih nyimpen uang bebas admin pakai grow mayan cuan bunganya gedee pakai paylaternyaa pas ragu amann pinjol diawasin langsung ojk gess,2024-07-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
saya kira di bank ini sama saja kayak pinjol tidak jelas di luaran sama ternyata aman banget karena dilindungi ojk,5,2024-07-22 12:29:48,banking,"['bank', 'kayak', 'pinjol', 'luaran', 'aman', 'banget', 'dilindungi', 'ojk']",pinjol luar aman  lindung ojk,bank kayak pinjol luaran aman banget dilindungi ojk,2024-07-01,30,30_lindung ojk_pinjol lindung_ojk aman_ojk
di bank aman dan terpercaya,5,2024-07-29 4:41:05,banking,"['bank', 'aman', 'terpercaya']",aman terpercaya,bank aman terpercaya,2024-07-01,13,13_aman aman_aman_aman milik_amann aman
enak banget pakai bank soalnya kemana mana sudah gratis admin transfer apalagi sudah ada yang diawasi ojk jadi aman banget,5,2024-06-20 7:00:19,banking,"['enak', 'banget', 'pakai', 'bank', 'kemana', 'gratis', 'admin', 'transfer', 'diawasi', 'ojk', 'aman', 'banget']",enak  pakai  mana gratis admin transfer awas ojk aman,enak banget pakai bank kemana gratis admin transfer diawasi ojk aman banget,2024-06-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
bukan pinjol tidak jelas dan dilindungi ojk jadi buat kalian yang butuh pinjaman pakai bank saja rekomendasi banget,5,2024-06-20 3:41:45,banking,"['pinjol', 'dilindungi', 'ojk', 'butuh', 'pinjaman', 'pakai', 'bank', 'rekomendasi', 'banget']",pinjol lindung ojk butuh pinjam pakai  rekomendasi,pinjol dilindungi ojk butuh pinjaman pakai bank rekomendasi banget,2024-06-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
helpfully banget ternyata ada yang amann karena diawasi ojk verifnya juga cepeet dan gratis admin terima kasih bank sudah membantu di situasi darurat,5,2024-06-07 11:52:57,banking,"['helpfully', 'banget', 'amann', 'diawasi', 'ojk', 'verifnya', 'cepeet', 'gratis', 'admin', 'terima', 'kasih', 'bank', 'membantu', 'situasi', 'darurat']",helpfully  amann awas ojk verifnya cepeet gratis admin    bantu situasi darurat,helpfully banget amann diawasi ojk verifnya cepeet gratis admin terima kasih bank membantu situasi darurat,2024-06-01,-1,Outlier
so far so bagus bebas biaya transfer kalau bayar pakai qris atau banyak diskonnya dan tentunya aman banget,5,2024-06-05 9:15:21,banking,"['so', 'far', 'so', 'bagus', 'bebas', 'biaya', 'transfer', 'bayar', 'pakai', 'qris', 'diskonnya', 'aman', 'banget']",so far so bagus bebas biaya transfer bayar pakai qris diskon aman,so far so bagus bebas biaya transfer bayar pakai qris diskonnya aman banget,2024-06-01,-1,Outlier
sumpah ya untuk biar banyak nasabah daftar caranya licik kita ke kerja fair mau cari kerja bahkan di daftarin katanya cuman buat biar vip nyata nyatanya daftar gila sih cara cari nasabah dengan cara kotor tolong ya teman lebih hati di kerja fair yang gimic bagi ice cream baskin robbin,1,2024-06-08 7:19:22,banking,"['sumpah', 'ya', 'biar', 'nasabah', 'daftar', 'licik', 'kerja', 'fair', 'cari', 'kerja', 'daftarin', 'cuman', 'biar', 'vip', 'nyata', 'daftar', 'gila', 'sih', 'cari', 'nasabah', 'kotor', 'tolong', 'ya', 'teman', 'hati', 'kerja', 'fair', 'gimic', 'ice', 'cream', 'baskin', 'robbin']",sumpah  biar nasabah daftar licik kerja fair cari kerja daftarin  biar vip nyata daftar gila  cari nasabah kotor   teman hati kerja fair gimic ice cream baskin robbin,sumpah ya biar nasabah daftar licik kerja fair cari kerja daftarin cuman biar vip nyata daftar gila sih cari nasabah kotor tolong ya teman hati kerja fair gimic ice cream baskin robbin,2024-06-01,-1,Outlier
di bank aman ya jadi tenang kalau pakai bank dapat dipercaya sekali rekomendasi aplikasi buat yang suka paylater,5,2024-06-04 5:06:14,banking,"['bank', 'aman', 'ya', 'tenang', 'pakai', 'bank', 'dipercaya', 'rekomendasi', 'aplikasi', 'suka', 'paylater']",aman  tenang pakai  percaya rekomendasi  suka,bank aman ya tenang pakai bank dipercaya rekomendasi aplikasi suka paylater,2024-06-01,13,13_aman aman_aman_aman milik_amann aman
klik tanggal 8 nov pilih tenor 1 bulan ditagih keesokan harinya 9 nov 1 hari sejak saya ajukan telf ke call center tanggal 8 nov malam dengan aril bersikeras besok harus di bayar tidak solutif hati ya ges ya sudah whatsapp telf ke cust centernya juga tetap tidak bisa dirubah harus boncoss sebesar 8 untuk pinjaman 1 hari,1,2023-11-09 22:22:57,banking,"['klik', 'tanggal', '8', 'nov', 'pilih', 'tenor', '1', 'ditagih', 'keesokan', 'harinya', '9', 'nov', '1', 'ajukan', 'telf', 'call', 'center', 'tanggal', '8', 'nov', 'malam', 'aril', 'bersikeras', 'besok', 'bayar', 'solutif', 'hati', 'ya', 'ges', 'ya', 'whatsapp', 'telf', 'cust', 'centernya', 'dirubah', 'boncoss', '8', 'pinjaman', '1']",klik tanggal 8 nov pilih tenor 1 tagih esok hari 9 nov 1 ajuk telf call center tanggal 8 nov malam aril keras besok bayar solutif hati  ges  whatsapp telf cust centernya rubah boncoss 8 pinjam 1,klik tanggal 8 nov pilih tenor 1 ditagih keesokan harinya 9 nov 1 ajukan telf call center tanggal 8 nov malam aril bersikeras besok bayar solutif hati ya ges ya whatsapp telf cust centernya dirubah boncoss 8 pinjaman 1,2023-11-01,2,2_tagih bayar_bayar tanggal_bayar tagih_tanggal bayar
transaksi mudah banyak promo diskon mohon agar di permudah acc nya,5,2023-10-31 7:56:00,banking,"['transaksi', 'mudah', 'promo', 'diskon', 'mohon', 'permudah', 'acc', 'nya']",transaksi mudah promo diskon  mudah acc,transaksi mudah promo diskon mohon permudah acc nya,2023-10-01,-1,Outlier
pengalaman yang tidak menyenangkan ketika menggunakan prime pada saat transaksi di transmart di coba berulang kali selalu gagal pada saat verifikasi wajah aneh bin ajaib sih kita pkenya menggunakan dana tabungan yang kita isi loh bukan tapi tetap harus verifikasi muka masukkan pin juga tapi alhasil tetap gagal terindikasiny sistem mungkin orang yang berbeda meskipun asliny sama jadi bikin kapok deh,1,2023-09-19 14:23:32,banking,"['pengalaman', 'menyenangkan', 'prime', 'transaksi', 'transmart', 'coba', 'berulang', 'kali', 'gagal', 'verifikasi', 'wajah', 'aneh', 'bin', 'ajaib', 'sih', 'pkenya', 'dana', 'tabungan', 'isi', 'loh', 'verifikasi', 'muka', 'masukkan', 'pin', 'alhasil', 'gagal', 'terindikasiny', 'sistem', 'orang', 'berbeda', 'asliny', 'bikin', 'kapok', 'deh']",alam senang prime transaksi transmart coba ulang  gagal verifikasi wajah aneh bin ajaib  pkenya dana tabung isi loh verifikasi muka masuk pin alhasil gagal terindikasiny sistem orang beda asliny bikin kapok deh,pengalaman menyenangkan prime transaksi transmart coba berulang kali gagal verifikasi wajah aneh bin ajaib sih pkenya dana tabungan isi loh verifikasi muka masukkan pin alhasil gagal terindikasiny sistem orang berbeda asliny bikin kapok deh,2023-09-01,-1,Outlier
tidak bisa aktif metode lambat berfungsi dan tidak baik tidak muncul transaksi aku dan belum bisa lihat transaksi tidak bisa bayar tagihan seharusnya seperti dana or seabank tidak muncul metode harus bikin bunga tidak bisa pinjam tidak ada bonus dan gratis bunga harus banyak processing tidak bisa cicilan 1 harganya sangat mahal minta tolong diperbarui bikin luar biasa all bank,1,2023-07-27 19:30:30,banking,"['aktif', 'metode', 'lambat', 'berfungsi', 'muncul', 'transaksi', 'lihat', 'transaksi', 'bayar', 'tagihan', 'dana', 'or', 'seabank', 'muncul', 'metode', 'bikin', 'bunga', 'pinjam', 'bonus', 'gratis', 'bunga', 'processing', 'cicilan', '1', 'harganya', 'mahal', 'tolong', 'diperbarui', 'bikin', 'all', 'bank']",aktif metode lambat fungsi muncul transaksi lihat transaksi bayar tagih dana or seabank muncul metode bikin bunga pinjam bonus gratis bunga processing cicil 1 harga mahal  baru bikin all,aktif metode lambat berfungsi muncul transaksi lihat transaksi bayar tagihan dana or seabank muncul metode bikin bunga pinjam bonus gratis bunga processing cicilan 1 harganya mahal tolong diperbarui bikin all bank,2023-07-01,-1,Outlier
yang keren banget sebuah bank digital dan dompet digital dengan fitur dan instan tunai juga proses registrasi yang mudah hanya dengan 5 menit untuk mendaftar secara daring bebas biaya admin dong mantap banget akan,5,2023-05-24 2:29:38,banking,"['keren', 'banget', 'bank', 'digital', 'dompet', 'digital', 'fitur', 'instan', 'tunai', 'proses', 'registrasi', 'mudah', '5', 'menit', 'mendaftar', 'daring', 'bebas', 'biaya', 'admin', 'mantap', 'banget']",keren   digital dompet digital fitur instan tunai proses registrasi mudah 5 menit daftar daring bebas biaya admin mantap,keren banget bank digital dompet digital fitur instan tunai proses registrasi mudah 5 menit mendaftar daring bebas biaya admin mantap banget,2023-05-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
ditawarin dan di iming imingin mulu pada saat pengajuan tanpa ada 3detik langsung di tolak,1,2023-06-06 5:47:55,banking,"['ditawarin', 'iming', 'imingin', 'mulu', 'pengajuan', '3detik', 'langsung', 'tolak']",ditawarin iming imingin mulu aju 3detik langsung tolak,ditawarin iming imingin mulu pengajuan 3detik langsung tolak,2023-06-01,-1,Outlier
ngelakuin transaksi apapun di bank benaran simpel banget tidak ada biaya admin untuk tf antar bank ada fitur yang instan cair dan bisa buka deposit juga dari bank,5,2023-05-11 13:56:11,banking,"['ngelakuin', 'transaksi', 'apapun', 'bank', 'benaran', 'simpel', 'banget', 'biaya', 'admin', 'tf', 'bank', 'fitur', 'instan', 'cair', 'buka', 'deposit', 'bank']",ngelakuin transaksi apa  benar simpel  biaya admin tf  fitur instan cair buka deposit,ngelakuin transaksi apapun bank benaran simpel banget biaya admin tf bank fitur instan cair buka deposit bank,2023-05-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
kenapa setelah pengajuan tidak bisa diakses sudah klik login tapi tidak bisa masuk uang saya lumayan ada ratusan ribu disitu,3,2023-04-17 4:55:37,banking,"['pengajuan', 'diakses', 'klik', 'login', 'masuk', 'uang', 'lumayan', 'ratusan', 'ribu', 'disitu']",aju akses klik login masuk uang lumayan ratus ribu situ,pengajuan diakses klik login masuk uang lumayan ratusan ribu disitu,2023-04-01,-1,Outlier
jangan iseng register ketika pesan penawaran melalui whatsapp biaya dan bunga sangat tinggi layanan tidak bisa ditutup,1,2023-03-05 21:42:36,banking,"['iseng', 'register', 'pesan', 'penawaran', 'whatsapp', 'biaya', 'bunga', 'layanan', 'ditutup']",iseng register pesan tawar whatsapp biaya bunga layan tutup,iseng register pesan penawaran whatsapp biaya bunga layanan ditutup,2023-03-01,-1,Outlier
pendaftaran system sering bermasalah padahal data ktp sudah di collect tinggal verifikasi wajah dari segala posisi yang bermasalah habis di perbarui data yang pernah didaftarkan ke reset harus foto ulang ktp dan error terus tidak bisa upgrade layanan bad aplikasi,1,2022-11-23 8:29:59,banking,"['pendaftaran', 'system', 'bermasalah', 'data', 'ktp', 'collect', 'tinggal', 'verifikasi', 'wajah', 'posisi', 'bermasalah', 'habis', 'perbarui', 'data', 'didaftarkan', 'reset', 'foto', 'ulang', 'ktp', 'error', 'upgrade', 'layanan', 'bad', 'aplikasi']",daftar system masalah data ktp collect tinggal verifikasi wajah posisi masalah habis baru data daftar reset foto ulang ktp error upgrade layan bad,pendaftaran system bermasalah data ktp collect tinggal verifikasi wajah posisi bermasalah habis perbarui data didaftarkan reset foto ulang ktp error upgrade layanan bad aplikasi,2022-11-01,15,15_ktp gagal_ktp buruk_ktp keluar_unggah ktp
ada opsi untuk pengajuan langkah pertama lakukan foto ktp namun setiap kali melakukan foto ktp selalu gagal muncul pesan anda tidak terhubung dengan jaringan internet dicoba beberapa kali namun tetap sama jadi lebih baik uninstall saja kalau sudah lebih baik baru reinstall,2,2022-08-25 12:26:36,banking,"['opsi', 'pengajuan', 'langkah', 'lakukan', 'foto', 'ktp', 'kali', 'foto', 'ktp', 'gagal', 'muncul', 'pesan', 'terhubung', 'jaringan', 'internet', 'dicoba', 'kali', 'uninstall', 'reinstall']",opsi aju langkah laku foto ktp  foto ktp gagal muncul pesan hubung jaring internet coba  uninstall reinstall,opsi pengajuan langkah lakukan foto ktp kali foto ktp gagal muncul pesan terhubung jaringan internet dicoba kali uninstall reinstall,2022-08-01,15,15_ktp gagal_ktp buruk_ktp keluar_unggah ktp
bagus aplication hanya butuh beberapa menit untuk daftar dan dalam hitungan detik di approved dengan limit yang lumayan perbankan yang user friendly saat ini,5,2022-08-29 2:51:01,banking,"['bagus', 'aplication', 'butuh', 'menit', 'daftar', 'hitungan', 'detik', 'approved', 'limit', 'lumayan', 'perbankan', 'user', 'friendly']",bagus aplication butuh menit daftar hitung detik approved limit lumayan  user friendly,bagus aplication butuh menit daftar hitungan detik approved limit lumayan perbankan user friendly,2022-08-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
sangat jelek aplikasi nya mau log in susah untuk sekarang mau bayar juga tidak bisa,1,2022-08-07 1:30:50,banking,"['jelek', 'aplikasi', 'nya', 'log', 'in', 'susah', 'bayar']",jelek   log in susah bayar,jelek aplikasi nya log in susah bayar,2022-08-01,-1,Outlier
terima kasih berkat bank urusan perbankan saya jadi lebih mudah beragam promo menarik dan pastinya terima kasih bank,5,2022-07-08 3:22:54,banking,"['terima', 'kasih', 'berkat', 'bank', 'urusan', 'perbankan', 'mudah', 'beragam', 'promo', 'menarik', 'pastinya', 'terima', 'kasih', 'bank']",berkat  urus  mudah agam promo tarik pasti,terima kasih berkat bank urusan perbankan mudah beragam promo menarik pastinya terima kasih bank,2022-07-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
